"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Jaguar | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3855D51"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"04/1983",8428,1798,1530,312,2,278,8304,1798,1530,312,2,278,,
"05/1983",9382,1884,1614,410,,294,9282,1884,1608,410,,290,,
"06/1983",9546,1908,1688,426,,292,9460,1908,1686,426,,290,,
"07/1983",10548,2152,1816,562,2,360,10380,2150,1814,562,2,360,,
"08/1983",10620,2150,1804,550,4,320,10498,2150,1802,550,4,318,,
"09/1983",10282,2018,1730,464,6,348,10140,2018,1730,464,6,348,,
"10/1983",10244,2262,1704,368,4,340,10106,2262,1704,368,4,340,,
"11/1983",9386,1994,1742,230,2,330,9262,1992,1740,230,2,330,,
"12/1983",9432,1998,1598,238,8,398,9314,1998,1596,238,8,396,,
"01/1984",7586,1530,1450,206,8,278,7498,1530,1450,206,8,278,,
"02/1984",7416,1562,1292,234,,244,7362,1562,1292,234,,244,,
"03/1984",8610,1772,1510,300,4,332,8544,1772,1510,300,4,332,,
"04/1984",8470,1672,1456,308,2,334,8398,1672,1456,308,2,332,,
"05/1984",9878,1852,1790,500,2,318,9784,1850,1790,500,2,318,,
"06/1984",10776,2012,1818,558,6,358,10706,2012,1818,558,6,358,,
"07/1984",10972,2086,1874,568,2,412,10892,2086,1874,568,2,412,,
"08/1984",11124,2092,1768,638,4,382,11010,2092,1766,638,4,380,,
"09/1984",10718,2178,1784,578,10,390,10622,2178,1784,578,10,390,,
"10/1984",10576,2126,1810,398,4,342,10494,2126,1808,398,4,342,,
"11/1984",9834,2036,1888,268,4,336,9736,2036,1888,268,4,336,,
"12/1984",9984,2016,1780,360,,380,9882,2016,1780,360,,380,,
"01/1985",8092,1654,1438,176,2,330,8026,1652,1438,176,2,330,,
"02/1985",7320,1552,1334,220,4,322,7242,1552,1334,220,4,322,,
"03/1985",8614,1796,1398,374,8,346,8540,1796,1398,374,8,346,,
"04/1985",9220,1886,1574,494,,338,9154,1884,1574,494,,338,,
"05/1985",10412,2020,1762,590,10,426,10356,2020,1762,590,10,426,,
"06/1985",10958,2208,1762,622,2,378,10888,2208,1762,620,2,378,,
"07/1985",10780,2118,1700,692,10,390,10694,2118,1700,692,10,390,,
"08/1985",11314,2172,1892,590,2,462,11220,2170,1892,588,2,462,,
"09/1985",10068,2070,1882,488,8,388,9992,2068,1878,488,8,386,,
"10/1985",10240,2108,1824,428,,422,10150,2108,1824,428,,422,,
